,Sociology,91.3%,69.6%,"$3,509","$3,475","$3,567","$3,500","$3,200","$3,940"
,College of Science,,,,,,,,
,Biological Sciences / Biomedical Sciences8,96.8%,81.7%,"$3,470","$3,400","$3,569","$3,500","$3,260","$3,800"
,Biomedical Sciences and Chinese Medicine9*,90.9%,77.3%,"$3,023","$3,100","$3,119","$3,100","$2,890","$3,300"
,Chemistry and Biological Chemistry,90.2%,74.4%,"$3,367","$3,400","$3,501","$3,400","$3,100","$3,700"
,Environmental Earth Systems Sciences10*,100.0%,91.3%,"$3,810","$3,892","$3,888","$3,950","$3,500","$4,300"
,Mathematical Sciences / Mathematical Sciences and Economics11,91.0%,75.6%,"$3,939","$3,750","$4,039","$3,806","$3,500","$4,500"
,Physics and Applied Physics,84.5%,69.0%,"$3,710","$3,570","$3,793","$3,600","$3,384","$4,000"
,Sports Science and Management,,,,,,,,
,Sports Science and Management,86.2%,55.4%,"$3,292","$3,300","$3,438","$3,300","$3,100","$3,620"
,National Institute of Education (NIE)12,,,,,,,,
,Arts (with Education),100.0%,100.0%,"$3,563","$3,754","$3,718","$3,780","$3,700","$3,900"
,Science (with Education)*,100.0%,100.0%,"$3,578","$3,776","$3,796","$3,904","$3,727","$4,000"
,Lee Kong Chian School of Medicine,,,,,,,,
,Medicine9,100.0%,100.0%,"$4,702","$4,700","$5,404","$5,500","$5,200","$5,800"
,,,,,,,,,"Source: Graduate Employment Survey jointly conducted by NUS, NTU, SMU, SUTD, SIT and SUSS"
,Notes : ,,,,,,,,
,"1) Employment rates refer to the number of graduates employed as a proportion of graduates in the labour force (i.e. those who were working, or not working but actively looking and available for work) as at 1 November 2021 (i.e. approximately six months after completing their final examinations).",,,,,,,,
,"2) Employment refers to graduates working on a full-time permanent, part-time, temporary or freelance basis.",,,,,,,,
,3) Full-time permanent employment refers to employment of at least 35 hours a week and where the employment is not temporary. It includes those on contracts of one year or more.,,,,,,,,
,"4) Basic monthly salary pertains only to full-time permanently employed graduates. It comprises basic pay before deduction of the employee’s CPF contributions and personal income tax. Employer’s CPF contributions, bonuses, stock options, overtime payments, commissions, fixed allowances, other regular cash payments, lump sum payments, and payments-in-kind are excluded.",,,,,,,,
,"5) Gross monthly salary pertains only to full-time permanently employed graduates. It comprises basic salary, overtime payments, commissions, fixed allowances and other regular cash payments, before deductions of the employee’s CPF contributions and personal income tax. Employer’s CPF contributions, bonuses, stock options, lump sum payments, and payments-in-kind are excluded.",,,,,,,,
,"6) Double Degree in Engineering and Economics refers to Aerospace Engineering and Economics, Chemical & Biomolecular Engineering and Economics, Civil 6) Engineering and Economics, Computer Science and Economics, Electrical and Electronic Engineering and Economics, Materials Engineering and Economics, and Mechanical Engineering and Economics.",,,,,,,,
,"7) Interdisciplinary Double Major refers to Economics and Media Analytics, Economics and Psychology, Economics and Public Policy and Global Affairs, English Literature and Art History, Psychology and Linguistics and Multilingual Studies, Psychology and Media Analytics.",,,,,,,,
,"8) Biological / Biomedical Sciences refers to Biological Science, Biological Science and Psychology, and Biomedical Sciences.",,,,,,,,
,9) Data on Biomedical Sciences and Chinese Medicine and Medicine graduates is obtained from a follow-up survey on 2020 graduates after they have completed their practical training/housemanship/first-year residency.,,,,,,,,
,"10) Environmental Earth System Science refers to Environmental Earth System Science, and Environmental Earth System Science and Public Policy and Global Affairs.",,,,,,,,
,"11) Mathematical Sciences / Mathematical Sciences and Economics refers to Mathematical Sciences, Mathematical Sciences and Economics, and Mathematics and Economics.",,,,,,,,
,12) National Institute of Education (NIE) is an autonomous institute of NTU. ,,,,,,,,
,* - Data is based on a sample size of fewer than 30 respondents.,,,,,,,,
